"","...1","X","rank"
"1","1",1,"Prof"
"2","2",2,"Prof"
"3","3",3,"AsstProf"
"4","4",4,"Prof"
"5","5",5,"Prof"
"6","6",6,"AssocProf"
"7","7",7,"Prof"
"8","8",8,"Prof"
"9","9",9,"Prof"
"10","10",10,"Prof"
"11","11",11,"AssocProf"
"12","12",12,"AsstProf"
"13","13",13,"AsstProf"
"14","14",14,"AsstProf"
"15","15",15,"Prof"
"16","16",16,"Prof"
"17","17",17,"Prof"
"18","18",18,"Prof"
"19","19",19,"Prof"
"20","20",20,"Prof"
"21","21",21,"Prof"
"22","22",22,"Prof"
"23","23",23,"Prof"
"24","24",24,"Prof"
"25","25",25,"AssocProf"
"26","26",26,"Prof"
"27","27",27,"Prof"
"28","28",28,"AsstProf"
"29","29",29,"AsstProf"
"30","30",30,"Prof"
"31","31",31,"Prof"
"32","32",32,"AsstProf"
"33","33",33,"Prof"
"34","34",34,"AsstProf"
"35","35",35,"AsstProf"
"36","36",36,"AsstProf"
"37","37",37,"Prof"
"38","38",38,"AsstProf"
"39","39",39,"Prof"
"40","40",40,"AssocProf"
"41","41",41,"Prof"
"42","42",42,"AssocProf"
"43","43",43,"Prof"
"44","44",44,"Prof"
"45","45",45,"Prof"
"46","46",46,"Prof"
"47","47",47,"Prof"
"48","48",48,"Prof"
"49","49",49,"Prof"
"50","50",50,"AsstProf"
"51","51",51,"Prof"
"52","52",52,"Prof"
"53","53",53,"AsstProf"
"54","54",54,"Prof"
"55","55",55,"AssocProf"
"56","56",56,"AssocProf"
"57","57",57,"Prof"
"58","58",58,"AssocProf"
"59","59",59,"AssocProf"
"60","60",60,"AsstProf"
"61","61",61,"AssocProf"
"62","62",62,"AsstProf"
"63","63",63,"Prof"
"64","64",64,"AssocProf"
"65","65",65,"AsstProf"
"66","66",66,"AssocProf"
"67","67",67,"Prof"
"68","68",68,"Prof"
"69","69",69,"Prof"
"70","70",70,"Prof"
"71","71",71,"Prof"
"72","72",72,"Prof"
"73","73",73,"Prof"
"74","74",74,"Prof"
"75","75",75,"Prof"
"76","76",76,"AsstProf"
"77","77",77,"Prof"
"78","78",78,"Prof"
"79","79",79,"AsstProf"
"80","80",80,"AsstProf"
"81","81",81,"Prof"
"82","82",82,"Prof"
"83","83",83,"Prof"
"84","84",84,"AsstProf"
"85","85",85,"Prof"
"86","86",86,"Prof"
"87","87",87,"Prof"
"88","88",88,"AsstProf"
"89","89",89,"Prof"
"90","90",90,"AssocProf"
"91","91",91,"AsstProf"
"92","92",92,"AssocProf"
"93","93",93,"AssocProf"
"94","94",94,"Prof"
"95","95",95,"Prof"
"96","96",96,"AsstProf"
"97","97",97,"AssocProf"
"98","98",98,"Prof"
"99","99",99,"Prof"
"100","100",100,"Prof"
"101","101",101,"Prof"
"102","102",102,"Prof"
"103","103",103,"Prof"
"104","104",104,"Prof"
"105","105",105,"AssocProf"
"106","106",106,"Prof"
"107","107",107,"AssocProf"
"108","108",108,"AssocProf"
"109","109",109,"AssocProf"
"110","110",110,"Prof"
"111","111",111,"Prof"
"112","112",112,"AssocProf"
"113","113",113,"AsstProf"
"114","114",114,"Prof"
"115","115",115,"Prof"
"116","116",116,"Prof"
"117","117",117,"Prof"
"118","118",118,"Prof"
"119","119",119,"AsstProf"
"120","120",120,"AsstProf"
"121","121",121,"Prof"
"122","122",122,"Prof"
"123","123",123,"Prof"
"124","124",124,"AssocProf"
"125","125",125,"Prof"
"126","126",126,"Prof"
"127","127",127,"Prof"
"128","128",128,"AsstProf"
"129","129",129,"Prof"
"130","130",130,"AsstProf"
"131","131",131,"AssocProf"
"132","132",132,"Prof"
"133","133",133,"AssocProf"
"134","134",134,"AsstProf"
"135","135",135,"Prof"
"136","136",136,"Prof"
"137","137",137,"Prof"
"138","138",138,"Prof"
"139","139",139,"AssocProf"
"140","140",140,"Prof"
"141","141",141,"AssocProf"
"142","142",142,"AssocProf"
"143","143",143,"Prof"
"144","144",144,"AsstProf"
"145","145",145,"Prof"
"146","146",146,"Prof"
"147","147",147,"AsstProf"
"148","148",148,"Prof"
"149","149",149,"Prof"
"150","150",150,"AsstProf"
"151","151",151,"Prof"
"152","152",152,"AsstProf"
"153","153",153,"Prof"
"154","154",154,"AssocProf"
"155","155",155,"AsstProf"
"156","156",156,"Prof"
"157","157",157,"AssocProf"
"158","158",158,"AsstProf"
"159","159",159,"AssocProf"
"160","160",160,"Prof"
"161","161",161,"AsstProf"
"162","162",162,"Prof"
"163","163",163,"AssocProf"
"164","164",164,"AsstProf"
"165","165",165,"AsstProf"
"166","166",166,"Prof"
"167","167",167,"Prof"
"168","168",168,"Prof"
"169","169",169,"AssocProf"
"170","170",170,"Prof"
"171","171",171,"AsstProf"
"172","172",172,"Prof"
"173","173",173,"Prof"
"174","174",174,"Prof"
"175","175",175,"AssocProf"
"176","176",176,"Prof"
"177","177",177,"AssocProf"
"178","178",178,"AssocProf"
"179","179",179,"Prof"
"180","180",180,"AsstProf"
"181","181",181,"Prof"
"182","182",182,"Prof"
"183","183",183,"AssocProf"
"184","184",184,"Prof"
"185","185",185,"Prof"
"186","186",186,"Prof"
"187","187",187,"AssocProf"
"188","188",188,"Prof"
"189","189",189,"AssocProf"
"190","190",190,"Prof"
"191","191",191,"Prof"
"192","192",192,"Prof"
"193","193",193,"Prof"
"194","194",194,"AssocProf"
"195","195",195,"AssocProf"
"196","196",196,"AssocProf"
"197","197",197,"AsstProf"
"198","198",198,"AsstProf"
"199","199",199,"Prof"
"200","200",200,"Prof"
"201","201",201,"AsstProf"
"202","202",202,"Prof"
"203","203",203,"Prof"
"204","204",204,"Prof"
"205","205",205,"Prof"
"206","206",206,"Prof"
"207","207",207,"Prof"
"208","208",208,"Prof"
"209","209",209,"AsstProf"
"210","210",210,"Prof"
"211","211",211,"AsstProf"
"212","212",212,"Prof"
"213","213",213,"Prof"
"214","214",214,"Prof"
"215","215",215,"AssocProf"
"216","216",216,"Prof"
"217","217",217,"Prof"
"218","218",218,"AssocProf"
"219","219",219,"AssocProf"
"220","220",220,"Prof"
"221","221",221,"Prof"
"222","222",222,"Prof"
"223","223",223,"AssocProf"
"224","224",224,"Prof"
"225","225",225,"Prof"
"226","226",226,"Prof"
"227","227",227,"AsstProf"
"228","228",228,"AssocProf"
"229","229",229,"Prof"
"230","230",230,"Prof"
"231","231",231,"Prof"
"232","232",232,"AssocProf"
"233","233",233,"Prof"
"234","234",234,"Prof"
"235","235",235,"AsstProf"
"236","236",236,"Prof"
"237","237",237,"Prof"
"238","238",238,"AsstProf"
"239","239",239,"Prof"
"240","240",240,"Prof"
"241","241",241,"AsstProf"
"242","242",242,"Prof"
"243","243",243,"Prof"
"244","244",244,"Prof"
"245","245",245,"Prof"
"246","246",246,"Prof"
"247","247",247,"Prof"
"248","248",248,"Prof"
"249","249",249,"Prof"
"250","250",250,"Prof"
"251","251",251,"Prof"
"252","252",252,"Prof"
"253","253",253,"Prof"
"254","254",254,"AsstProf"
"255","255",255,"Prof"
"256","256",256,"AssocProf"
"257","257",257,"Prof"
"258","258",258,"AssocProf"
"259","259",259,"AsstProf"
"260","260",260,"Prof"
"261","261",261,"AssocProf"
"262","262",262,"Prof"
"263","263",263,"Prof"
"264","264",264,"Prof"
"265","265",265,"Prof"
"266","266",266,"Prof"
"267","267",267,"Prof"
"268","268",268,"Prof"
"269","269",269,"Prof"
"270","270",270,"Prof"
"271","271",271,"Prof"
"272","272",272,"Prof"
"273","273",273,"AsstProf"
"274","274",274,"AsstProf"
"275","275",275,"AsstProf"
"276","276",276,"Prof"
"277","277",277,"Prof"
"278","278",278,"Prof"
"279","279",279,"Prof"
"280","280",280,"Prof"
"281","281",281,"Prof"
"282","282",282,"Prof"
"283","283",283,"Prof"
"284","284",284,"Prof"
"285","285",285,"AssocProf"
"286","286",286,"AssocProf"
"287","287",287,"Prof"
"288","288",288,"AsstProf"
"289","289",289,"Prof"
"290","290",290,"AsstProf"
"291","291",291,"Prof"
"292","292",292,"Prof"
"293","293",293,"Prof"
"294","294",294,"AssocProf"
"295","295",295,"Prof"
"296","296",296,"Prof"
"297","297",297,"Prof"
"298","298",298,"Prof"
"299","299",299,"Prof"
"300","300",300,"AssocProf"
"301","301",301,"Prof"
"302","302",302,"Prof"
"303","303",303,"Prof"
"304","304",304,"Prof"
"305","305",305,"Prof"
"306","306",306,"Prof"
"307","307",307,"AsstProf"
"308","308",308,"Prof"
"309","309",309,"AsstProf"
"310","310",310,"Prof"
"311","311",311,"Prof"
"312","312",312,"Prof"
"313","313",313,"Prof"
"314","314",314,"Prof"
"315","315",315,"Prof"
"316","316",316,"AsstProf"
"317","317",317,"AssocProf"
"318","318",318,"Prof"
"319","319",319,"Prof"
"320","320",320,"Prof"
"321","321",321,"Prof"
"322","322",322,"AssocProf"
"323","323",323,"AssocProf"
"324","324",324,"Prof"
"325","325",325,"Prof"
"326","326",326,"AsstProf"
"327","327",327,"Prof"
"328","328",328,"Prof"
"329","329",329,"AssocProf"
"330","330",330,"Prof"
"331","331",331,"Prof"
"332","332",332,"Prof"
"333","333",333,"Prof"
"334","334",334,"Prof"
"335","335",335,"AssocProf"
"336","336",336,"Prof"
"337","337",337,"Prof"
"338","338",338,"Prof"
"339","339",339,"Prof"
"340","340",340,"Prof"
"341","341",341,"Prof"
"342","342",342,"Prof"
"343","343",343,"Prof"
"344","344",344,"Prof"
"345","345",345,"Prof"
"346","346",346,"Prof"
"347","347",347,"Prof"
"348","348",348,"Prof"
"349","349",349,"AsstProf"
"350","350",350,"Prof"
"351","351",351,"Prof"
"352","352",352,"Prof"
"353","353",353,"Prof"
"354","354",354,"Prof"
"355","355",355,"AsstProf"
"356","356",356,"Prof"
"357","357",357,"Prof"
"358","358",358,"Prof"
"359","359",359,"Prof"
"360","360",360,"AsstProf"
"361","361",361,"Prof"
"362","362",362,"Prof"
"363","363",363,"Prof"
"364","364",364,"AssocProf"
"365","365",365,"Prof"
"366","366",366,"Prof"
"367","367",367,"Prof"
"368","368",368,"AssocProf"
"369","369",369,"Prof"
"370","370",370,"Prof"
"371","371",371,"AssocProf"
"372","372",372,"Prof"
"373","373",373,"Prof"
"374","374",374,"Prof"
"375","375",375,"Prof"
"376","376",376,"Prof"
"377","377",377,"AsstProf"
"378","378",378,"AsstProf"
"379","379",379,"Prof"
"380","380",380,"AssocProf"
"381","381",381,"AsstProf"
"382","382",382,"Prof"
"383","383",383,"AssocProf"
"384","384",384,"Prof"
"385","385",385,"Prof"
"386","386",386,"Prof"
"387","387",387,"Prof"
"388","388",388,"Prof"
"389","389",389,"Prof"
"390","390",390,"Prof"
"391","391",391,"Prof"
"392","392",392,"Prof"
"393","393",393,"Prof"
"394","394",394,"Prof"
"395","395",395,"Prof"
"396","396",396,"Prof"
"397","397",397,"AsstProf"
