"","...1","discipline","yrs.since.phd"
"1","1","B",19
"2","2","B",20
"3","3","B",4
"4","4","B",45
"5","5","B",40
"6","6","B",6
"7","7","B",30
"8","8","B",45
"9","9","B",21
"10","10","B",18
"11","11","B",12
"12","12","B",7
"13","13","B",1
"14","14","B",2
"15","15","B",20
"16","16","B",12
"17","17","B",19
"18","18","A",38
"19","19","A",37
"20","20","A",39
"21","21","A",31
"22","22","A",36
"23","23","A",34
"24","24","A",24
"25","25","A",13
"26","26","A",21
"27","27","A",35
"28","28","B",5
"29","29","B",11
"30","30","B",12
"31","31","B",20
"32","32","B",7
"33","33","B",13
"34","34","B",4
"35","35","B",4
"36","36","B",5
"37","37","B",22
"38","38","B",7
"39","39","B",41
"40","40","B",9
"41","41","B",23
"42","42","B",23
"43","43","B",40
"44","44","B",38
"45","45","B",19
"46","46","B",25
"47","47","B",40
"48","48","B",23
"49","49","B",25
"50","50","B",1
"51","51","B",28
"52","52","B",12
"53","53","B",11
"54","54","B",16
"55","55","B",12
"56","56","B",14
"57","57","B",23
"58","58","B",9
"59","59","B",10
"60","60","B",8
"61","61","B",9
"62","62","B",3
"63","63","B",33
"64","64","B",11
"65","65","B",4
"66","66","B",9
"67","67","B",22
"68","68","B",35
"69","69","B",17
"70","70","B",28
"71","71","B",17
"72","72","B",45
"73","73","B",29
"74","74","B",35
"75","75","B",28
"76","76","B",8
"77","77","B",17
"78","78","B",26
"79","79","B",3
"80","80","B",6
"81","81","B",43
"82","82","B",17
"83","83","B",22
"84","84","B",6
"85","85","B",17
"86","86","B",15
"87","87","B",37
"88","88","B",2
"89","89","B",25
"90","90","B",9
"91","91","B",10
"92","92","B",10
"93","93","B",10
"94","94","B",38
"95","95","B",21
"96","96","B",4
"97","97","B",17
"98","98","B",13
"99","99","B",30
"100","100","B",41
"101","101","B",42
"102","102","B",28
"103","103","B",16
"104","104","B",20
"105","105","A",18
"106","106","A",31
"107","107","A",11
"108","108","A",10
"109","109","A",15
"110","110","A",40
"111","111","A",20
"112","112","A",19
"113","113","A",3
"114","114","A",37
"115","115","A",12
"116","116","A",21
"117","117","A",30
"118","118","A",39
"119","119","A",4
"120","120","A",5
"121","121","A",14
"122","122","A",32
"123","123","A",24
"124","124","A",25
"125","125","A",24
"126","126","A",54
"127","127","A",28
"128","128","A",2
"129","129","A",32
"130","130","A",4
"131","131","A",11
"132","132","A",56
"133","133","A",10
"134","134","A",3
"135","135","A",35
"136","136","A",20
"137","137","A",16
"138","138","A",17
"139","139","A",10
"140","140","A",21
"141","141","A",14
"142","142","A",15
"143","143","A",19
"144","144","B",3
"145","145","B",27
"146","146","B",28
"147","147","B",4
"148","148","B",27
"149","149","B",36
"150","150","B",4
"151","151","B",14
"152","152","B",4
"153","153","B",21
"154","154","B",12
"155","155","B",4
"156","156","B",21
"157","157","B",12
"158","158","B",1
"159","159","B",6
"160","160","B",15
"161","161","B",2
"162","162","B",26
"163","163","B",22
"164","164","B",3
"165","165","B",1
"166","166","B",21
"167","167","B",16
"168","168","B",18
"169","169","B",8
"170","170","B",25
"171","171","B",5
"172","172","B",19
"173","173","B",37
"174","174","B",20
"175","175","B",17
"176","176","B",28
"177","177","B",10
"178","178","B",13
"179","179","B",27
"180","180","B",3
"181","181","B",11
"182","182","B",18
"183","183","B",8
"184","184","B",26
"185","185","B",23
"186","186","B",33
"187","187","B",13
"188","188","B",18
"189","189","B",28
"190","190","B",25
"191","191","B",22
"192","192","B",43
"193","193","B",19
"194","194","B",19
"195","195","B",48
"196","196","B",9
"197","197","B",4
"198","198","B",4
"199","199","B",34
"200","200","B",38
"201","201","B",4
"202","202","B",40
"203","203","B",28
"204","204","B",17
"205","205","B",19
"206","206","B",21
"207","207","B",35
"208","208","B",18
"209","209","B",7
"210","210","B",20
"211","211","B",4
"212","212","B",39
"213","213","B",15
"214","214","B",26
"215","215","B",11
"216","216","B",16
"217","217","B",15
"218","218","B",29
"219","219","B",14
"220","220","B",13
"221","221","B",21
"222","222","B",23
"223","223","B",13
"224","224","B",34
"225","225","A",38
"226","226","A",20
"227","227","A",3
"228","228","A",9
"229","229","A",16
"230","230","A",39
"231","231","A",29
"232","232","A",26
"233","233","A",38
"234","234","A",36
"235","235","A",8
"236","236","A",28
"237","237","A",25
"238","238","A",7
"239","239","A",46
"240","240","A",19
"241","241","A",5
"242","242","A",31
"243","243","A",38
"244","244","A",23
"245","245","A",19
"246","246","A",17
"247","247","A",30
"248","248","A",21
"249","249","A",28
"250","250","A",29
"251","251","A",39
"252","252","A",20
"253","253","A",31
"254","254","A",4
"255","255","A",28
"256","256","A",12
"257","257","A",22
"258","258","A",30
"259","259","A",9
"260","260","A",32
"261","261","A",41
"262","262","A",45
"263","263","A",31
"264","264","A",31
"265","265","A",37
"266","266","A",36
"267","267","A",43
"268","268","A",14
"269","269","A",47
"270","270","A",13
"271","271","A",42
"272","272","A",42
"273","273","A",4
"274","274","A",8
"275","275","A",8
"276","276","A",12
"277","277","A",52
"278","278","A",31
"279","279","A",24
"280","280","A",46
"281","281","A",39
"282","282","A",37
"283","283","A",51
"284","284","A",45
"285","285","A",8
"286","286","A",49
"287","287","A",28
"288","288","A",2
"289","289","A",29
"290","290","A",8
"291","291","A",33
"292","292","A",32
"293","293","A",39
"294","294","A",11
"295","295","A",19
"296","296","A",40
"297","297","A",18
"298","298","A",17
"299","299","A",49
"300","300","A",45
"301","301","A",39
"302","302","A",27
"303","303","A",28
"304","304","A",14
"305","305","A",46
"306","306","A",33
"307","307","A",7
"308","308","A",31
"309","309","A",5
"310","310","A",22
"311","311","A",20
"312","312","A",14
"313","313","A",29
"314","314","A",35
"315","315","A",22
"316","316","B",6
"317","317","B",12
"318","318","B",46
"319","319","B",16
"320","320","B",16
"321","321","B",24
"322","322","B",9
"323","323","B",13
"324","324","B",24
"325","325","B",30
"326","326","B",8
"327","327","B",23
"328","328","B",37
"329","329","B",10
"330","330","B",23
"331","331","B",49
"332","332","B",20
"333","333","B",18
"334","334","B",33
"335","335","B",19
"336","336","B",36
"337","337","B",35
"338","338","B",13
"339","339","B",32
"340","340","B",37
"341","341","B",13
"342","342","B",17
"343","343","B",38
"344","344","B",31
"345","345","B",32
"346","346","B",15
"347","347","B",41
"348","348","B",39
"349","349","B",4
"350","350","B",27
"351","351","B",56
"352","352","B",38
"353","353","B",26
"354","354","B",22
"355","355","B",8
"356","356","B",25
"357","357","A",49
"358","358","A",39
"359","359","A",28
"360","360","A",11
"361","361","A",14
"362","362","A",23
"363","363","A",30
"364","364","A",20
"365","365","A",43
"366","366","A",43
"367","367","A",15
"368","368","A",10
"369","369","A",35
"370","370","A",33
"371","371","A",13
"372","372","A",23
"373","373","A",12
"374","374","A",30
"375","375","A",27
"376","376","A",28
"377","377","A",4
"378","378","A",6
"379","379","A",38
"380","380","A",11
"381","381","A",8
"382","382","A",27
"383","383","A",8
"384","384","A",44
"385","385","A",27
"386","386","A",15
"387","387","A",29
"388","388","A",29
"389","389","A",38
"390","390","A",33
"391","391","A",40
"392","392","A",30
"393","393","A",33
"394","394","A",31
"395","395","A",42
"396","396","A",25
"397","397","A",8
